code,name,roe,net_profit_ratio,net_profits,eps,cf_sales,rateofreturn,cashflowratio
000001,平安银行,8.69,23.6,20456.0,1.1913,,-0.0034,
000002,万科A,9.98,7.94,13984.5598,1.2668,,-0.0034,
000004,国农科技,-2.03,-1.01,-2.5918,-0.0308,,-0.0034,
000005,世纪星源,0.49,1.7,6.532,0.0061,,-0.0034,
000006,深振业A,8.63,31.57,503.2401,0.3727,,-0.0034,
000007,全新好,-2.28,-26.84,-8.6606,-0.0249,,-0.0034,
000008,神州高铁,1.73,9.58,123.5609,0.0438,,-0.0034,
000009,中国宝安,1.93,1.48,98.6091,0.0458,,-0.0034,
000010,美丽生态,-19.9,-102.46,-191.9654,-0.2341,,-0.0034,
000011,深物业A,4.99,12.02,144.1887,0.2419,,-0.0034,
000012,南玻A,5.23,5.75,469.1163,0.1638,,-0.0034,
000014,沙河股份,0.3,1.21,2.2646,0.0112,,-0.0034,
000016,深康佳A,5.36,1.44,429.8347,0.1785,,-0.0034,
000017,深中华A,6.38,1.07,1.0847,0.0019,,-0.0034,
000018,神州长城,1.22,1.12,25.4826,0.015,,-0.0034,
000019,深深宝A,-3.26,-13.82,-29.9742,-0.0603,,-0.0034,
000020,深华发A,0.15,0.1,0.4975,0.0017,,-0.0034,
000021,深科技,7.13,3.49,440.8356,0.2996,,-0.0034,
000022,深赤湾A,9.8,25.38,453.2169,0.7029,,-0.0034,
000023,深天地A,2.55,1.06,10.6348,0.0766,,-0.0034,
000025,特力A,3.58,12.33,35.8405,0.1205,,-0.0034,
000026,飞亚达A,6.37,6.34,162.6611,0.3707,,-0.0034,
000027,深圳能源,2.86,4.87,603.863,0.1523,,-0.0034,
000028,国药一致,8.41,2.91,926.9716,2.1651,,-0.0034,
000029,深深房A,11.68,23.37,374.0004,0.3696,,-0.0034,
000030,富奥股份,10.72,11.62,661.1164,0.3651,,-0.0034,
000031,中粮地产,12.32,11.53,908.1045,0.5006,,-0.0034,
000032,深桑达A,6.26,7.15,83.4987,0.20199999999999999,,-0.0034,
000034,神州数码,9.36,0.64,344.3965,0.5265,,-0.0034,
000035,中国天楹,5.22,12.18,166.6466,0.1233,,-0.0034,
000036,华联控股,16.08,27.23,738.2359,0.6467,,-0.0034,
000037,深南电A,1.86,2.29,37.1754,0.0616,,-0.0034,
000038,深大通,4.07,10.48,220.0639,0.4209,,-0.0034,
000039,中集集团,7.16,3.46,2317.0460000000003,0.7762,,-0.0034,
000040,东旭蓝天,10.94,26.53,1404.6042,1.0504,,-0.0034,
000042,中洲控股,10.7,10.69,757.554,1.1394,,-0.0034,
000043,中航善达,16.79,20.72,830.6732,1.2454,,-0.0034,
000045,深纺织A,0.5,1.14,12.2688,0.0239,,-0.0034,
000046,泛海控股,8.58,72.91,1817.1679,0.3497,,-0.0034,
000048,*ST康达,8.12,5.44,89.2983,0.2285,,-0.0034,
000049,德赛电池,16.87,2.34,274.5263,1.3375,,-0.0034,
000050,深天马A,4.85,5.86,1275.0768,0.6225,,-0.0034,
000055,方大集团,9.79,14.38,321.47,0.2782,,-0.0034,
000056,皇庭国际,2.81,22.17,151.8923,0.1292,,-0.0034,
000058,深赛格,6.97,9.55,138.0667,0.1117,,-0.0034,
000059,华锦股份,8.03,4.17,1059.1169,0.6621,,-0.0034,
000060,中金岭南,7.5,4.53,769.7428,0.2156,,-0.0034,
000061,农产品,0.98,2.78,47.2341,0.0278,,-0.0034,
000062,深圳华强,11.44,6.31,518.9683,0.7194,,-0.0034,
000063,中兴通讯,-31.95,-12.35,-7259.723000000001,-1.7315,,-0.0034,
000065,北方国际,10.93,6.76,441.3802,0.5735,,-0.0034,
000066,中国长城,3.44,3.31,207.9961,0.0708,,-0.0034,
000068,华控赛格,-7.98,-35.7,-48.4704,-0.0481,,-0.0034,
000069,华侨城A,9.43,20.73,5090.2053,0.6204,,-0.0034,
000070,特发信息,7.73,4.07,164.2768,0.262,,-0.0034,
000078,海王生物,7.26,1.55,431.8878,0.1631,,-0.0034,
000088,盐田港,4.58,101.89,298.202,0.1535,,-0.0034,
000089,深圳机场,4.98,21.63,576.0893,0.2809,,-0.0034,
000090,天健集团,2.77,3.75,174.5296,0.1214,,-0.0034,
000096,广聚能源,3.89,7.7,96.1076,0.182,,-0.0034,
000099,中信海直,2.9,8.89,88.007,0.1452,,-0.0034,
000100,TCL集团,8.32,3.02,2489.6615,0.1837,,-0.0034,
000150,宜华健康,8.43,12.28,205.7175,0.3281,,-0.0034,
000151,中成股份,6.71,7.53,66.001,0.2229,,-0.0034,
000153,丰原药业,4.43,2.52,56.4351,0.1779,,-0.0034,
000155,川能动力,-0.52,-0.53,-15.4921,-0.0121,,-0.0034,
000156,华数传媒,4.58,20.11,482.6882,0.3367,,-0.0034,
