code,name,roe,net_profit_ratio,net_profits,eps,cf_sales,rateofreturn,cashflowratio
000001,平安银行,5.86,23.36,13372.0,0.7278,,0.0022,
000002,万科A,6.76,8.6,9123.7432,0.8264,,0.0022,
000005,世纪星源,0.61,2.97,8.1467,0.0076,,0.0022,
000006,深振业A,7.24,39.4,415.9687,0.3081,,0.0022,
000007,全新好,-2.94,-49.42,-11.0674,-0.0319,,0.0022,
000008,神州高铁,0.87,8.4,61.3802,0.0217,,0.0022,
000009,中国宝安,2.26,2.64,114.9098,0.0534,,0.0022,
000010,美丽生态,-7.92,-79.03,-84.986,-0.1036,,0.0022,
000011,深物业A,2.93,10.05,82.9725,0.1392,,0.0022,
000012,南玻A,4.01,6.44,352.8372,0.1294,,0.0022,
000014,沙河股份,0.41,2.53,3.0834,0.0152,,0.0022,
000016,深康佳A,4.3,1.93,341.793,0.1419,,0.0022,
000017,深中华A,3.36,0.81,0.5542,0.001,,0.0022,
000018,神州长城,6.52,9.07,143.9995,0.0847,,0.0022,
000019,深深宝A,-1.96,-13.34,-18.2466,-0.0367,,0.0022,
000020,深华发A,0.86,0.81,2.7931,0.0098,,0.0022,
000021,深科技,2.92,2.07,171.7782,0.1167,,0.0022,
000022,深赤湾A,7.04,25.36,316.0603,0.4901,,0.0022,
000023,深天地A,0.21,0.13,0.8645,0.0062,,0.0022,
000026,飞亚达A,4.35,6.62,112.3679,0.2561,,0.0022,
000027,深圳能源,2.56,6.72,537.0368,0.1354,,0.0022,
000028,国药一致,6.47,3.08,641.727,1.4989,,0.0022,
000029,深深房A,10.42,24.97,329.0661,0.3252,,0.0022,
000030,富奥股份,8.04,12.6,481.414,0.3722,,0.0022,
000031,中粮地产,8.74,12.49,624.0677,0.344,,0.0022,
000032,深桑达A,4.58,7.42,60.4408,0.1431,,0.0022,
000034,神州数码,7.45,0.8,267.4994,0.4089,,0.0022,
000035,中国天楹,2.8,10.1,87.2559,0.0645,,0.0022,
000036,华联控股,9.0,27.02,380.3736,0.3332,,0.0022,
000037,深南电A,1.5,2.77,30.0121,0.0497,,0.0022,
000038,深大通,2.24,9.66,119.1014,0.2278,,0.0022,
000039,中集集团,3.14,2.21,965.3969999999999,0.3234,,0.0022,
000040,东旭蓝天,10.33,36.92,1317.4075,0.9852,,0.0022,
000042,中洲控股,10.25,12.07,718.0605,1.08,,0.0022,
000043,中航善达,2.96,4.5,125.8419,0.1886,,0.0022,
000045,深纺织A,0.4,1.79,9.647,0.0188,,0.0022,
000046,泛海控股,6.18,114.18,1333.6235,0.2566,,0.0022,
000048,*ST康达,6.74,6.89,73.1028,0.187,,0.0022,
000049,德赛电池,8.98,2.11,133.3702,0.6498,,0.0022,
000050,深天马A,3.25,6.01,840.1415,0.4102,,0.0022,
000055,方大集团,6.99,15.95,230.1317,0.1944,,0.0022,
000056,皇庭国际,1.89,22.15,101.2418,0.0861,,0.0022,
000058,深赛格,5.04,11.06,97.667,0.079,,0.0022,
000059,华锦股份,5.89,4.68,762.7149,0.4768,,0.0022,
000060,中金岭南,6.06,5.32,606.6895,0.1699,,0.0022,
000061,农产品,-0.37,-1.6,-17.608,-0.0103,,0.0022,
000062,深圳华强,8.32,7.34,359.7205,0.4986,,0.0022,
000063,中兴通讯,-35.49,-19.84,-7824.19,-1.8661,,0.0022,
000065,北方国际,8.7,8.35,342.1843,0.4446,,0.0022,
000066,中国长城,4.02,6.06,250.7728,0.0851,,0.0022,
000068,华控赛格,-4.82,-34.91,-30.1705,-0.0299,,0.0022,
000069,华侨城A,3.73,13.68,2013.7835,0.2454,,0.0022,
000070,特发信息,4.74,3.81,97.5395,0.1555,,0.0022,
000078,海王生物,5.59,1.86,326.7644,0.1234,,0.0022,
000088,盐田港,2.68,92.1,171.3841,0.0882,,0.0022,
000089,深圳机场,3.25,21.0,369.5125,0.1801,,0.0022,
000090,天健集团,3.23,5.89,204.2992,0.1421,,0.0022,
000096,广聚能源,3.29,9.83,80.6114,0.1526,,0.0022,
000099,中信海直,1.43,6.78,42.7743,0.0705,,0.0022,
000100,TCL集团,5.35,3.01,1585.9389999999999,0.11699999999999999,,0.0022,
000150,宜华健康,7.28,15.2,175.3959,0.3916,,0.0022,
000151,中成股份,5.85,7.14,56.988,0.1925,,0.0022,
000153,丰原药业,3.05,2.58,38.0811,0.1201,,0.0022,
000155,川能动力,1.06,1.26,32.4461,0.0255,,0.0022,
000156,华数传媒,3.05,20.3,316.9169,0.2211,,0.0022,
000157,中联重科,2.33,5.87,864.2179,0.1108,,0.0022,
000158,常山北明,0.5,0.79,29.9939,0.0181,,0.0022,
000159,国际实业,-1.91,-12.24,-39.1547,-0.0813,,0.0022,
000166,申万宏源,3.06,34.0,2065.5654,0.0916,,0.0022,
000301,东方盛虹,1.98,14.48,69.6849,0.0572,,0.0022,
000333,美的集团,16.31,9.07,12936.846000000001,1.9516,,0.0022,
000338,潍柴动力,11.88,5.33,4392.5874,0.5492,,0.0022,
000400,许继电气,1.71,4.96,131.9798,0.1308,,0.0022,
000401,冀东水泥,5.0,6.59,515.8098,0.3827,,0.0022,
000402,金融街,2.92,13.04,864.9712,0.2893,,0.0022,
000403,振兴生化,10.68,15.63,66.7132,0.2447,,0.0022,
000404,长虹华意,1.9,1.27,60.2665,0.0865,,0.0022,
000407,胜利股份,3.2,3.37,72.005,0.0818,,0.0022,
000408,藏格控股,6.19,37.97,432.2272,0.2167,,0.0022,
000409,*ST地矿,-33.53,-26.98,-178.7864,-0.3499,,0.0022,
000410,沈阳机床,2.83,0.75,25.248,0.0329,,0.0022,
000411,英特集团,5.59,0.49,49.843999999999994,0.2402,,0.0022,
000413,东旭光电,2.74,7.71,858.2961,0.1497,,0.0022,
000415,渤海租赁,3.89,6.49,1289.763,0.2085,,0.0022,
000416,民生控股,0.56,74.72,4.7997,0.009000000000000001,,0.0022,
000417,合肥百货,4.41,2.93,163.6856,0.2098,,0.0022,
000418,小天鹅A,12.27,7.48,902.047,1.4261,,0.0022,
000419,通程控股,3.88,4.18,81.1184,0.1492,,0.0022,
000420,吉林化纤,2.74,6.08,78.7768,0.0399,,0.0022,
000421,南京公用,3.47,5.01,86.9635,0.1518,,0.0022,
000422,*ST宜化,29.24,3.81,238.2143,0.2653,,0.0022,
000423,东阿阿胶,8.51,28.87,862.2527,1.3183,,0.0022,
000425,徐工机械,4.45,4.61,1104.0301,0.1575,,0.0022,
000426,兴业矿业,6.33,32.48,367.611,0.1967,,0.0022,
000428,华天酒店,-4.99,-29.93,-143.1884,-0.1405,,0.0022,
000429,粤高速A,8.98,50.72,779.0022,0.3725,,0.0022,
000430,张家界,1.27,10.57,20.1384,0.0497,,0.0022,
000488,晨鸣纸业,6.44,11.47,1784.631,0.6309,,0.0022,
000498,山东路桥,3.29,2.4,134.8192,0.1203,,0.0022,
000501,鄂武商A,7.42,6.51,576.4578,0.7496,,0.0022,
000502,绿景控股,-23.17,-282.32,-24.2725,-0.1313,,0.0022,
000503,国新健康,-6.69,-394.9,-88.2734,-0.0982,,0.0022,
000504,南华生物,-168.09,-42.91,-15.4499,-0.0495,,0.0022,
000505,京粮控股,2.77,1.64,59.919,0.0873,,0.0022,
000506,中润资源,-2.68,-12.99,-26.2152,-0.0282,,0.0022,
000507,珠海港,4.27,12.68,121.1575,0.1534,,0.0022,
000509,华塑控股,-7.1,-0.35,-4.2275,-0.0051,,0.0022,
000510,金路集团,8.12,7.38,73.3822,0.1204,,0.0022,
000513,丽珠集团,6.1,13.87,633.3543,0.8808,,0.0022,
000514,渝开发,0.54,6.09,16.2268,0.0192,,0.0022,
000516,国际医学,37.75,137.12,2208.9102,1.1206,,0.0022,
000517,荣安地产,4.03,13.76,174.56099999999998,0.0548,,0.0022,
