,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000912,*ST天化,98.84,11.5,22.1065,378.3298,0.2412,3289.2687,2.0977
1,600247,*ST成城,79.87,52.69,26.0066,14.7962,0.0439,28.0812,0.0834
2,000707,*ST双环,67.47,4.24,2.1024,114.6149,0.2469,2700.718,5.8186
3,600793,宜宾纸业,59.05,20.2,16.4711,210.1743,1.9959,1040.0066,9.8766
4,000526,紫光学大,49.72,2.91,29.0442,68.3027,0.71,2344.1444,24.3686
5,000717,韶钢松山,48.52,14.23,19.6013,2757.0751,1.1395,19370.3304,8.0058
6,600678,四川金顶,47.12,9.09,17.7207,31.0368,0.0889,341.2361,0.9777
7,600408,*ST安泰,45.78,8.92,11.7267,569.4932,0.5656,6378.8231,6.3357
8,600507,方大特钢,43.52,18.1,33.0133,2314.7302,1.5965,12781.9767,8.8159
9,600738,兰州民百,41.64,117.64,34.8253,1252.1152,1.5989,1064.3377,1.3591
10,600516,方大炭素,40.18,49.31,76.8863,4524.7611,2.5295,9175.8395,5.1296
11,300618,寒锐钴业,39.23,32.48,53.7352,701.3337,3.6527,2159.2567,11.2461
12,000516,国际医学,38.4,122.88,20.9105,2231.8371,1.1323,1816.1721,0.9214
13,600802,福建水泥,35.91,16.12,33.5627,321.8381,0.8427,1995.6499,5.2259
14,300571,平治信息,35.67,25.45,48.3156,178.2468,1.4808,700.3186,5.818
15,002027,分众传媒,35.55,44.22,69.2402,4809.7608,0.3276,10876.5917,0.741
16,601003,柳钢股份,35.46,9.44,14.0363,3254.4190000000003,1.2698,34453.2352,13.4436
17,300107,建新股份,35.19,46.75,63.9953,493.5754,0.9027,1055.6102,1.9307
18,000932,华菱钢铁,35.14,7.97,17.7816,5475.8153,1.8157,68643.1301,22.7622
19,300760,迈瑞医疗,33.76,28.17,66.9003,2896.6387,2.6475,10279.8099,9.3957
20,000720,*ST新能,33.33,50.07,13.8157,555.3985,0.4306,1109.1814,0.86
21,600132,重庆啤酒,33.12,13.15,41.1327,384.6513,0.7947,2923.788,6.0412
22,300752,隆利科技,32.43,12.06,22.3909,137.6306,2.5255,1140.4627,20.9274
23,000629,攀钢钒钛,32.19,19.19,26.5773,2047.6192,0.2383,10666.2545,1.2417
24,600338,西藏珠峰,31.51,48.94,71.5195,768.5149,1.1768,1570.0758,2.4043
25,002942,新农股份,31.48,15.43,34.5168,109.1491,1.2127,707.355,7.8594
26,300751,迈为股份,31.28,24.23,40.9389,140.6986,3.6076,580.4563,14.8834
27,600671,天目药业,30.7,10.24,38.3653,29.7329,0.2441,290.2205,2.3831
28,603260,合盛硅业,30.47,26.61,42.1497,2246.4536,3.3529,8440.8014,12.5982
29,002110,三钢闽光,30.37,19.3,27.7618,5178.9345,3.1687,26825.5333,16.4132
30,000672,上峰水泥,29.82,25.33,44.0904,918.3213,1.1286,3625.0836,4.4555
31,300272,开能健康,29.14,51.36,37.4494,324.3993,0.6789,631.5029,1.3216
32,000422,*ST宜化,28.63,3.29,18.1563,334.6313,0.3726,10162.6689,11.3186
33,300122,智飞生物,28.47,31.09,56.8685,1086.5882,0.6791,3494.8792,2.1842
34,600230,沧州大化,28.39,28.98,51.7142,1028.8685,2.498,3549.7369,8.6187
35,300176,鸿特科技,28.33,13.95,65.5883,387.2148,0.9998,2774.0151,7.1628
36,600309,万华化学,28.06,19.64,36.8206,9021.0215,3.2995,45923.2347,16.797
37,300132,青松股份,27.38,28.14,40.7695,267.4248,0.6929,950.1418,2.4619999999999997
38,600779,水井坊,26.59,21.63,81.5717,462.76,0.9472,2138.6773,4.3776
39,002841,视源股份,26.44,7.08,20.9494,849.8961,1.2965,12002.4251,18.3105
40,603868,飞科电器,26.1,22.01,39.6027,620.6631,1.4248,2819.1921,6.4719
