date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-13,5.44,5.5,5.42,5.4,34256.18,0.02,0.37,5.418,5.495,5.529,41311.32,42648.49,48150.08
2018-12-12,5.46,5.53,5.4,5.39,38269.0,-0.1,-1.82,5.424,5.508,5.537,41052.79,46475.98,48542.77
2018-12-11,5.33,5.5,5.5,5.3,57689.01,0.21,3.97,5.462,5.524,5.542,42367.98,46501.36,49634.16
2018-12-10,5.49,5.49,5.29,5.28,44202.29,-0.19,-3.47,5.498,5.52,5.543,39717.73,43744.82,50404.28
2018-12-07,5.48,5.5,5.48,5.41,32140.1,0.03,0.55,5.574,5.532,5.547,42859.64,43564.83,51204.22
2018-12-06,5.59,5.6,5.45,5.44,32963.55,-0.14,-2.5,5.572,5.531,5.531,43985.66,47041.3,50934.96
2018-12-05,5.59,5.63,5.59,5.54,44844.93,-0.09,-1.58,5.592,5.55,5.519,51899.17,47103.48,50864.38
2018-12-04,5.62,5.7,5.68,5.6,44437.8,0.01,0.18,5.586,5.555,5.5,50634.74,48500.92,50398.93
2018-12-03,5.61,5.72,5.67,5.57,59911.84,0.2,3.66,5.542,5.536,5.478,47771.9,51399.61,50041.62
2018-11-30,5.47,5.52,5.47,5.35,37770.18,-0.08,-1.44,5.49,5.547,5.456,44270.02,52392.31,48907.49
2018-11-29,5.57,5.75,5.55,5.51,72531.08,-0.01,-0.18,5.49,5.563,5.442,50096.94,53651.68,49669.07
2018-11-28,5.45,5.58,5.56,5.35,38522.79,0.1,1.83,5.508,5.565,5.416,42307.79,50609.55,48362.25
2018-11-27,5.43,5.49,5.46,5.42,30123.59,0.05,0.92,5.524,5.56,5.39,46367.1,52766.97,48551.3
2018-11-26,5.53,5.55,5.41,5.37,42402.44,-0.06,-1.1,5.53,5.565,5.364,55027.33,57063.75,48892.98
2018-11-23,5.61,5.67,5.47,5.44,66904.8,-0.17,-3.01,5.604,5.561,5.336,60514.6,58843.62,47912.8
2018-11-22,5.62,5.69,5.64,5.58,33585.35,0.0,0.0,5.636,5.53,5.307,57206.41,54828.63,46583.48
2018-11-21,5.43,5.64,5.64,5.4,58819.33,0.15,2.73,5.622,5.488,5.268,58911.31,54625.29,46683.18
2018-11-20,5.75,5.75,5.49,5.48,73424.73,-0.29,-5.02,5.596,5.444,5.228,59166.83,52296.94,45218.05
2018-11-19,5.63,5.79,5.78,5.63,69838.81,0.15,2.66,5.6,5.42,5.194,59100.17,48683.63,43651.69
2018-11-16,5.57,5.68,5.63,5.54,50363.85,0.06,1.08,5.518,5.365,5.148,57172.63,45422.67,42666.08
2018-11-15,5.5,5.58,5.57,5.5,42109.84,0.06,1.09,5.424,5.32,5.098,52450.84,45686.46,41443.06
2018-11-14,5.51,5.56,5.51,5.44,60096.92,0.0,0.0,5.354,5.267,5.047,50339.26,46114.95,40720.7
2018-11-13,5.33,5.56,5.51,5.29,73091.43,0.14,2.61,5.292,5.22,5.004,45427.06,44335.63,39135.8
2018-11-12,5.23,5.38,5.37,5.18,60201.11,0.21,4.07,5.24,5.162,4.959,38267.1,40722.22,37109.53
2018-11-09,5.2,5.21,5.16,5.15,26754.9,-0.06,-1.15,5.212,5.111,4.924,33672.7,36981.98,36159.37
2018-11-08,5.24,5.26,5.22,5.21,31551.96,0.02,0.39,5.216,5.083,4.906,38922.08,38338.34,36842.26
2018-11-07,5.25,5.26,5.2,5.17,35535.88,-0.05,-0.95,5.18,5.047,4.889,41890.63,38741.08,38236.54
2018-11-06,5.24,5.26,5.25,5.18,37291.64,0.02,0.38,5.148,5.011,4.9,43244.2,38139.17,37615.44
2018-11-05,5.21,5.27,5.23,5.17,37229.13,0.05,0.96,5.084,4.967,4.907,43177.34,38619.75,36719.16
2018-11-02,5.1,5.22,5.18,5.09,53001.78,0.14,2.78,5.01,4.93,4.916,40291.26,39909.5,37103.06
2018-11-01,5.03,5.14,5.04,5.02,46394.71,0.0,0.0,4.95,4.875,4.938,37754.6,37199.66,35614.29
2018-10-31,4.95,5.05,5.04,4.93,42303.74,0.11,2.23,4.914,4.827,4.964,35591.53,35326.46,34734.96
2018-10-30,4.86,4.97,4.93,4.84,36957.33,0.07,1.44,4.874,4.788,4.995,33034.13,33935.97,34025.61
2018-10-29,4.9,4.96,4.86,4.83,22798.75,-0.02,-0.41,4.85,4.755,5.03,34062.17,33496.83,33137.09
2018-10-26,4.86,4.98,4.88,4.86,40318.45,0.02,0.41,4.85,4.736,5.07,39527.73,35336.75,33943.45
2018-10-25,4.73,4.86,4.86,4.68,35579.38,0.02,0.41,4.8,4.728,5.108,36644.73,35346.18,33707.72
2018-10-24,4.78,4.93,4.84,4.76,29516.75,0.03,0.62,4.74,4.731,5.147,35061.39,37732.0,34022.37
2018-10-23,4.85,4.94,4.81,4.77,42097.51,-0.05,-1.03,4.702,4.789,5.186,34837.8,37091.71,33809.54
2018-10-22,4.68,4.91,4.86,4.66,50126.58,0.23,4.97,4.66,4.847,5.222,32931.5,34818.56,32508.68
2018-10-19,4.47,4.65,4.63,4.45,25903.44,0.07,1.53,4.622,4.902,5.258,31145.77,34296.62,31241.11
2018-10-18,4.64,4.65,4.56,4.54,27662.69,-0.09,-1.94,4.656,5.0,5.307,34047.63,34028.91,31129.84
2018-10-17,4.69,4.7,4.65,4.55,28398.8,0.05,1.09,4.722,5.1,5.357,40402.61,34143.46,30710.66
2018-10-16,4.68,4.72,4.6,4.57,32565.98,-0.07,-1.5,4.876,5.201,5.4,39345.62,34115.25,30588.2
2018-10-15,4.82,4.89,4.67,4.65,41197.95,-0.13,-2.71,5.034,5.304,5.447,36705.62,32777.35,30448.97
2018-10-12,4.9,4.95,4.8,4.63,40412.71,-0.09,-1.84,5.182,5.404,5.495,37447.46,32550.15,30160.33
2018-10-11,5.33,5.33,4.89,4.88,59437.61,-0.53,-9.78,5.344,5.487,5.538,34010.2,32069.26,29244.56
2018-10-10,5.44,5.49,5.42,5.39,23113.84,0.03,0.56,5.478,5.562,5.581,27884.32,30312.74,27411.77
2018-10-09,5.43,5.45,5.39,5.39,19366.0,-0.02,-0.37,5.526,5.582,5.599,28884.89,30527.37,27861.02
2018-10-08,5.55,5.55,5.41,5.4,44907.14,-0.2,-3.56,5.574,5.596,5.614,28849.07,30198.79,27877.3
2018-09-28,5.59,5.62,5.61,5.54,23226.4,0.05,0.9,5.626,5.613,5.628,27652.84,28185.6,26845.7
2018-09-27,5.65,5.65,5.56,5.55,28808.21,-0.1,-1.77,5.63,5.614,5.637,30128.33,28230.77,26742.82
2018-09-26,5.63,5.68,5.66,5.62,28116.69,0.03,0.53,5.646,5.613,5.65,32741.15,27277.86,26456.55
2018-09-25,5.64,5.65,5.63,5.61,19186.92,-0.04,-0.7,5.638,5.599,5.661,32169.86,27061.16,25881.1
2018-09-21,5.62,5.68,5.67,5.61,38925.97,0.04,0.71,5.618,5.59,5.673,31548.52,28120.59,26348.94
2018-09-20,5.62,5.64,5.63,5.59,35603.86,-0.01,-0.18,5.6,5.586,5.68,28718.35,27770.5,25184.08
2018-09-19,5.63,5.67,5.64,5.56,41872.33,0.02,0.36,5.598,5.589,5.689,26333.21,26419.86,24201.99
2018-09-18,5.52,5.62,5.62,5.51,25260.22,0.09,1.63,5.58,5.599,5.697,21814.57,24510.81,22799.61
2018-09-17,5.56,5.58,5.53,5.52,16080.2,-0.05,-0.9,5.56,5.615,5.706,21952.45,25194.67,22768.75
2018-09-14,5.62,5.64,5.58,5.56,24775.16,-0.04,-0.71,5.562,5.631,5.716,24692.66,25555.82,23161.29
2018-09-13,5.58,5.63,5.62,5.55,23678.16,0.07,1.26,5.572,5.643,5.722,26822.65,25505.8,23146.63
2018-09-12,5.53,5.58,5.55,5.52,19279.1,0.03,0.54,5.58,5.659,5.731,26506.5,25254.87,23176.3
2018-09-11,5.55,5.61,5.52,5.5,25949.64,-0.02,-0.36,5.618,5.687,5.744,27207.05,25635.24,23443.55
2018-09-10,5.64,5.64,5.54,5.53,29781.26,-0.09,-1.6,5.67,5.722,5.766,28436.88,24701.05,23028.59
2018-09-07,5.63,5.72,5.63,5.58,35425.1,-0.03,-0.53,5.7,5.756,5.787,26418.97,24577.29,22945.48
2018-09-06,5.7,5.76,5.66,5.65,22097.41,-0.08,-1.39,5.714,5.773,5.801,24188.95,22597.66,22146.53
2018-09-05,5.75,5.81,5.74,5.7,22781.82,-0.04,-0.69,5.738,5.789,5.812,24003.23,21984.12,22775.52
2018-09-04,5.68,5.79,5.78,5.66,32098.82,0.09,1.58,5.756,5.795,5.813,24063.43,21088.42,23459.81
2018-09-03,5.68,5.72,5.69,5.6,19691.68,-0.01,-0.17,5.774,5.797,5.811,20965.22,20342.84,23637.75
2018-08-31,5.81,5.81,5.7,5.7,24275.0,-0.08,-1.38,5.812,5.801,5.808,22735.62,20766.76,24503.85
2018-08-30,5.84,5.87,5.78,5.76,21168.82,-0.05,-0.86,5.832,5.8,5.808,21006.38,20787.47,24877.07
2018-08-29,5.85,5.89,5.83,5.81,23082.82,-0.04,-0.68,5.84,5.803,5.807,19965.02,21097.74,26058.27
2018-08-28,5.89,5.92,5.87,5.85,16607.8,-0.01,-0.17,5.834,5.801,5.812,18113.4,21251.86,27325.33
2018-08-27,5.84,5.89,5.88,5.75,28543.67,0.08,1.38,5.82,5.809,5.825,19720.46,21356.12,27925.93
2018-08-24,5.79,5.83,5.8,5.74,15628.8,-0.02,-0.34,5.79,5.818,5.836,18797.9,21313.66,28456.56
2018-08-23,5.8,5.86,5.82,5.76,15962.0,0.02,0.34,5.768,5.828,5.854,20568.55,21695.4,30257.05
2018-08-22,5.79,5.86,5.8,5.78,13824.75,0.0,0.0,5.766,5.835,5.872,22230.46,23566.92,31650.73
2018-08-21,5.74,5.84,5.8,5.69,24643.07,0.07,1.22,5.768,5.831,5.888,24390.31,25831.2,32880.99
2018-08-20,5.7,5.79,5.73,5.62,23930.9,0.03,0.53,5.798,5.825,5.907,22991.78,26932.66,34667.53
2018-08-17,5.82,5.88,5.69,5.59,24482.05,-0.12,-2.06,5.846,5.814,5.923,23829.41,28240.93,35422.39
2018-08-16,5.77,5.86,5.81,5.71,24271.55,-0.01,-0.17,5.888,5.816,5.937,22822.24,28966.68,35737.62
2018-08-15,5.98,5.98,5.81,5.79,24624.0,-0.13,-2.19,5.904,5.811,5.94,24903.38,31018.8,35870.87
2018-08-14,5.91,5.96,5.95,5.9,17650.38,-0.01,-0.17,5.894,5.822,5.947,27272.08,33398.8,37319.43
2018-08-13,5.81,5.97,5.97,5.76,28119.07,0.07,1.19,5.852,5.84,5.944,30873.55,34495.75,37638.17
2018-08-10,5.89,5.93,5.9,5.84,19446.2,0.02,0.34,5.782,5.853,5.939,32652.45,35599.46,37773.65
2018-08-09,5.76,5.9,5.89,5.7,34677.25,0.12,2.08,5.744,5.88,5.936,35111.11,38818.71,37902.73
2018-08-08,5.72,5.88,5.76,5.71,36467.52,0.02,0.35,5.718,5.909,5.932,37134.22,39734.54,37710.79
